x,y,speed,pos,angle
1373.44,1382.4,1.29,121.67,354.93
1380.15,1300.48,1.33,6.17,353.72
1390.01,1218.92,1.33,12.18,353.57
1397.17,1137.59,1.3,33.13,353.81
1405.4,1055.86,1.37,115.19,353.81
1395.32,1008.86,1.48,0.32,354.08
1454.34,1000.42,1.27,12.88,263.72
1535.6,1009.36,1.42,94.63,263.72
1617.74,1018.41,1.34,177.27,263.72
1698.91,1027.34,1.36,258.92,263.72
1772.93,1026.69,1.34,0.31,351.47
1788.2,1019.13,1.47,12.21,263.89
1767.31,1027.18,1.37,3.55,83.76
1693.68,1011.18,1.22,43.53,84.06
1611.67,1002.65,1.43,125.98,84.06
1529.02,994.04,1.28,209.08,84.06
1447.01,985.5,1.28,291.53,84.06
1419.07,959.24,0.0,0.01,82.45
1418.84,948.83,1.32,8.04,352.42
1428.58,867.42,1.46,27.89,353.72
1434.73,784.7,1.24,32.67,353.31
1394.22,742.68,1.37,5.47,83.74
1312.24,733.75,1.41,78.53,83.88
1229.45,725.28,1.26,13.03,84.38
1147.29,717.19,1.41,95.59,84.38
1109.71,779.74,1.43,25.22,130.1
1125.26,768.78,1.43,6.1,297.96
1113.59,712.85,1.34,23.0,83.59
1031.66,703.65,1.32,105.3,83.59
949.15,693.71,1.26,0.09,77.74
917.33,765.04,1.25,73.0,162.12
892.05,843.38,1.29,155.32,162.12
857.78,897.63,1.27,9.07,89.72
836.85,959.06,1.45,19.11,231.67
831.38,1020.67,1.31,184.56,173.77
822.49,1102.09,1.28,102.67,173.77
813.49,1184.58,1.23,19.68,173.77
804.25,1266.8,1.34,88.25,173.46
794.86,1348.69,1.49,5.83,173.46
785.15,1430.92,1.41,48.71,173.3
776.35,1513.25,1.52,223.24,175.33
769.49,1597.2,1.53,139.02,175.33
762.85,1678.52,1.44,57.42,175.33
749.42,1758.07,1.32,44.25,173.07
742.7,1819.47,1.38,2.13,94.76
751.35,1747.5,1.51,54.97,353.07
764.31,1668.53,1.27,67.5,355.33
771.04,1586.08,1.36,150.22,355.33
777.79,1503.54,1.45,233.04,355.33
786.8,1422.37,1.27,57.39,353.3
796.49,1340.09,1.37,14.56,353.46
805.81,1258.87,1.5,2.91,353.46
814.35,1176.72,1.35,27.59,353.77
823.34,1094.33,1.27,110.47,353.77
832.34,1011.85,1.42,193.44,353.77
834.2,952.58,1.27,2.29,354.08
857.44,896.99,1.47,8.72,269.72
876.57,889.82,1.24,2.11,341.52
902.19,811.96,1.24,122.31,342.12
927.61,733.19,1.48,39.54,342.12
981.12,698.07,1.47,156.07,263.78
1063.17,707.19,1.52,73.65,263.59
1139.51,722.51,1.39,38.33,174.19
1100.66,787.32,1.34,37.03,105.54
1130.18,766.17,1.4,0.53,297.96
1169.09,719.34,1.48,73.69,264.38
1250.36,727.49,1.38,1.4,264.35
1332.36,735.91,1.41,58.29,263.88
1413.82,744.76,1.36,22.52,263.5
1432.27,805.68,1.46,11.54,173.31
1426.41,887.18,1.27,8.0,173.72
1402.26,952.9,1.47,5.45,172.15
1402.08,1020.75,1.42,9.83,271.07
1400.66,1093.59,1.37,77.21,173.81
1389.22,1172.63,1.3,15.94,84.87
1396.32,1225.76,1.24,20.94,173.55
1387.9,1307.49,0.0,0.02,174.72
1381.87,1366.97,1.48,55.8,174.92
1383.25,1365.96,1.36,54.67,354.92
1362.34,1305.05,1.25,14.16,83.72
1279.34,1295.93,1.27,8.34,83.72
1197.78,1286.96,1.28,76.54,83.72
1115.06,1281.1,1.27,62.37,83.73
1034.36,1272.23,1.51,143.56,83.73
951.06,1263.08,1.35,70.09,83.73
869.63,1254.14,1.46,151.99,83.73
826.28,1295.79,1.47,30.95,173.52
817.28,1378.52,1.42,0.97,173.92
808.15,1459.87,1.44,82.83,173.56
798.86,1541.68,1.34,7.87,173.5
789.49,1623.93,1.52,90.65,173.5
780.81,1706.08,1.46,173.26,174.09
772.28,1788.42,1.25,256.04,174.09
772.71,1790.45,1.23,258.02,354.09
781.15,1708.97,1.26,176.09,354.09
789.82,1626.69,1.32,93.36,353.5
799.35,1543.05,1.51,9.18,353.5
871.99,1532.25,1.23,46.28,268.74
931.78,1564.51,1.23,28.91,195.67
1002.5,1602.71,1.35,58.1,253.83
1048.13,1649.47,1.43,22.91,285.86
1083.6,1669.79,1.25,25.5,15.85
1104.76,1601.24,1.5,4.92,253.63
1178.88,1637.7,1.26,113.01,243.68
1253.11,1675.44,1.41,29.65,241.71
1319.65,1722.13,1.47,19.22,230.95
1391.07,1713.46,1.38,47.37,290.08
1460.47,1709.81,1.43,17.27,226.19
1531.54,1695.3,1.43,43.98,291.39
1609.11,1667.67,1.51,42.46,290.16
1679.25,1628.04,1.35,8.04,343.07
1684.41,1544.72,1.36,55.62,357.4
1694.38,1468.14,1.33,50.87,354.4
1702.28,1386.28,1.3,11.5,354.93
1723.58,1310.84,1.24,19.48,355.0
1730.75,1228.96,1.28,101.68,354.99
1738.31,1147.63,1.42,57.54,354.61
1746.09,1065.36,1.38,140.17,354.51
1748.78,1026.15,1.29,0.1,264.23
1819.84,1042.56,1.43,116.49,264.09
1901.53,1051.02,1.53,34.37,264.09
1973.61,1047.94,1.39,1.57,264.41
2045.04,1067.1,1.25,110.1,264.26
2127.0,1075.34,1.46,27.72,264.26
2188.66,1083.97,1.46,32.89,83.75
2110.43,1072.39,1.43,44.51,84.26
2027.43,1064.05,1.48,127.92,84.26
1957.33,1044.88,1.03,0.87,85.94
1884.31,1047.95,1.51,51.82,84.09
1803.47,1039.58,1.23,133.09,84.09
1737.91,1026.19,1.36,2.53,174.29
1753.79,1065.56,1.37,6.06,174.51
1746.04,1147.52,1.27,88.38,174.61
1738.58,1227.71,1.32,8.64,174.99
1731.35,1310.26,1.27,91.51,174.95
1734.72,1383.9,1.35,22.22,173.9
1728.03,1466.52,1.35,13.09,175.52
1708.09,1527.12,1.41,1.85,86.09
1641.71,1544.98,1.23,0.17,90.0
1561.16,1557.74,1.49,66.16,103.73
1487.71,1571.35,1.47,2.78,111.14
1413.38,1609.21,1.42,86.44,124.65
1432.44,1664.02,1.31,53.07,226.16
1402.41,1618.35,1.27,100.7,304.65
1474.0,1578.37,1.43,18.18,294.5
1551.7,1550.73,1.23,36.03,285.01
1621.71,1533.76,1.27,17.54,270.46
1688.92,1521.49,1.45,17.84,359.57
1714.82,1544.74,0.88,0.15,261.47
1795.66,1555.0,1.33,62.52,264.79
1877.02,1562.42,1.41,144.22,264.79
1955.02,1568.7,1.37,17.71,264.56
2037.16,1576.52,1.32,100.22,264.56
2112.38,1583.61,0.06,0.01,263.18
2175.98,1591.33,1.49,59.57,263.21
2217.04,1545.96,1.34,46.74,353.1
2214.09,1559.65,1.34,32.79,173.1
2162.4,1588.43,1.31,45.74,83.21
2083.39,1579.63,1.35,146.54,84.56
2001.55,1571.84,1.33,64.34,84.56
1923.74,1564.42,1.35,0.74,84.59
1898.91,1641.62,1.31,25.77,157.5
1868.75,1718.15,1.23,70.32,158.13
1839.1,1795.13,1.23,152.87,163.94
1824.85,1876.67,1.33,26.52,174.9
1810.58,1947.82,1.26,10.57,78.87
1729.12,1933.63,1.51,77.93,76.88
1662.7,1900.2,0.0,2.94,83.36
1652.32,1944.73,1.46,64.86,173.93
1645.4,2023.63,1.41,0.96,135.7
1585.24,1981.8,1.3,0.29,150.7
1542.78,2050.93,1.27,3.46,150.71
1502.47,2122.79,1.44,85.85,150.71
1451.6,2174.73,1.5,168.49,61.51
1380.69,2139.88,1.51,26.66,61.5
1451.6,2174.73,1.5,168.49,61.51
1502.47,2122.79,1.44,85.85,150.71
1542.78,2050.93,1.27,3.46,150.71
1585.24,1981.8,1.3,0.29,150.7
1645.4,2023.63,1.41,0.96,135.7
1652.32,1944.73,1.46,64.86,173.93
1662.7,1900.2,0.0,2.94,83.36
1729.12,1933.63,1.51,77.93,76.88
1810.58,1947.82,1.26,10.57,78.87
1824.85,1876.67,1.33,26.52,174.9
1839.1,1795.13,1.23,152.87,163.94
1868.75,1718.15,1.23,70.32,158.13
1898.91,1641.62,1.31,25.77,157.5
1923.74,1564.42,1.35,0.74,84.59
2001.55,1571.84,1.33,64.34,84.56
2083.39,1579.63,1.35,146.54,84.56
2162.4,1588.43,1.31,45.74,83.21
2214.09,1559.65,1.34,32.79,173.1
2217.04,1545.96,1.34,46.74,353.1
2175.98,1591.33,1.49,59.57,263.21
2112.38,1583.61,0.06,0.01,263.18
2037.16,1576.52,1.32,100.22,264.56
1955.02,1568.7,1.37,17.71,264.56
1877.02,1562.42,1.41,144.22,264.79
1795.66,1555.0,1.33,62.52,264.79
1714.82,1544.74,0.88,0.15,261.47
1688.92,1521.49,1.45,17.84,359.57
1621.71,1533.76,1.27,17.54,270.46
1551.7,1550.73,1.23,36.03,285.01
1474.0,1578.37,1.43,18.18,294.5
1402.41,1618.35,1.27,100.7,304.65
1432.44,1664.02,1.31,53.07,226.16
1413.38,1609.21,1.42,86.44,124.65
1487.71,1571.35,1.47,2.78,111.14
1561.16,1557.74,1.49,66.16,103.73
1641.71,1544.98,1.23,0.17,90.0
1708.09,1527.12,1.41,1.85,86.09
1728.03,1466.52,1.35,13.09,175.52
1734.72,1383.9,1.35,22.22,173.9
1731.35,1310.26,1.27,91.51,174.95
1738.58,1227.71,1.32,8.64,174.99
1746.04,1147.52,1.27,88.38,174.61
1753.79,1065.56,1.37,6.06,174.51
1737.91,1026.19,1.36,2.53,174.29
1803.47,1039.58,1.23,133.09,84.09
1884.31,1047.95,1.51,51.82,84.09
1957.33,1044.88,1.03,0.87,85.94
2027.43,1064.05,1.48,127.92,84.26
2110.43,1072.39,1.43,44.51,84.26
2188.66,1083.97,1.46,32.89,83.75
2127.0,1075.34,1.46,27.72,264.26
2045.04,1067.1,1.25,110.1,264.26
1973.61,1047.94,1.39,1.57,264.41
1901.53,1051.02,1.53,34.37,264.09
1819.84,1042.56,1.43,116.49,264.09
1748.78,1026.15,1.29,0.1,264.23
1746.09,1065.36,1.38,140.17,354.51
1738.31,1147.63,1.42,57.54,354.61
1730.75,1228.96,1.28,101.68,354.99
1723.58,1310.84,1.24,19.48,355.0
1702.28,1386.28,1.3,11.5,354.93
1694.38,1468.14,1.33,50.87,354.4
1684.41,1544.72,1.36,55.62,357.4
1679.25,1628.04,1.35,8.04,343.07
1609.11,1667.67,1.51,42.46,290.16
1531.54,1695.3,1.43,43.98,291.39
1460.47,1709.81,1.43,17.27,226.19
1391.07,1713.46,1.38,47.37,290.08
1319.65,1722.13,1.47,19.22,230.95
1253.11,1675.44,1.41,29.65,241.71
1178.88,1637.7,1.26,113.01,243.68
1104.76,1601.24,1.5,4.92,253.63
1083.6,1669.79,1.25,25.5,15.85
1048.13,1649.47,1.43,22.91,285.86
1002.5,1602.71,1.35,58.1,253.83
931.78,1564.51,1.23,28.91,195.67
871.99,1532.25,1.23,46.28,268.74
799.35,1543.05,1.51,9.18,353.5
789.82,1626.69,1.32,93.36,353.5
781.15,1708.97,1.26,176.09,354.09
772.71,1790.45,1.23,258.02,354.09
772.28,1788.42,1.25,256.04,174.09
780.81,1706.08,1.46,173.26,174.09
789.49,1623.93,1.52,90.65,173.5
798.86,1541.68,1.34,7.87,173.5
808.15,1459.87,1.44,82.83,173.56
817.28,1378.52,1.42,0.97,173.92
826.28,1295.79,1.47,30.95,173.52
869.63,1254.14,1.46,151.99,83.73
951.06,1263.08,1.35,70.09,83.73
1034.36,1272.23,1.51,143.56,83.73
1115.06,1281.1,1.27,62.37,83.73
1197.78,1286.96,1.28,76.54,83.72
1279.34,1295.93,1.27,8.34,83.72
1362.34,1305.05,1.25,14.16,83.72
1383.25,1365.96,1.36,54.67,354.92
1381.87,1366.97,1.48,55.8,174.92
1387.9,1307.49,0.0,0.02,174.72
1396.32,1225.76,1.24,20.94,173.55
1389.22,1172.63,1.3,15.94,84.87
1400.66,1093.59,1.37,77.21,173.81
1402.08,1020.75,1.42,9.83,271.07
1402.26,952.9,1.47,5.45,172.15
1426.41,887.18,1.27,8.0,173.72
1432.27,805.68,1.46,11.54,173.31
1413.82,744.76,1.36,22.52,263.5
1332.36,735.91,1.41,58.29,263.88
1250.36,727.49,1.38,1.4,264.35
1169.09,719.34,1.48,73.69,264.38
1130.18,766.17,1.4,0.53,297.96
1100.66,787.32,1.34,37.03,105.54
1139.51,722.51,1.39,38.33,174.19
1063.17,707.19,1.52,73.65,263.59
981.12,698.07,1.47,156.07,263.78
927.61,733.19,1.48,39.54,342.12
902.19,811.96,1.24,122.31,342.12
876.57,889.82,1.24,2.11,341.52
857.44,896.99,1.47,8.72,269.72
834.2,952.58,1.27,2.29,354.08
832.34,1011.85,1.42,193.44,353.77
823.34,1094.33,1.27,110.47,353.77
814.35,1176.72,1.35,27.59,353.77
805.81,1258.87,1.5,2.91,353.46
796.49,1340.09,1.37,14.56,353.46
786.8,1422.37,1.27,57.39,353.3
777.79,1503.54,1.45,233.04,355.33
771.04,1586.08,1.36,150.22,355.33
764.31,1668.53,1.27,67.5,355.33
751.35,1747.5,1.51,54.97,353.07
742.7,1819.47,1.38,2.13,94.76
749.42,1758.07,1.32,44.25,173.07
762.85,1678.52,1.44,57.42,175.33
769.49,1597.2,1.53,139.02,175.33
776.35,1513.25,1.52,223.24,175.33
785.15,1430.92,1.41,48.71,173.3
794.86,1348.69,1.49,5.83,173.46
804.25,1266.8,1.34,88.25,173.46
813.49,1184.58,1.23,19.68,173.77
822.49,1102.09,1.28,102.67,173.77
831.38,1020.67,1.31,184.56,173.77
836.85,959.06,1.45,19.11,231.67
857.78,897.63,1.27,9.07,89.72
892.05,843.38,1.29,155.32,162.12
917.33,765.04,1.25,73.0,162.12
949.15,693.71,1.26,0.09,77.74
1031.66,703.65,1.32,105.3,83.59
1113.59,712.85,1.34,23.0,83.59
1125.26,768.78,1.43,6.1,297.96
1109.71,779.74,1.43,25.22,130.1
1147.29,717.19,1.41,95.59,84.38
1229.45,725.28,1.26,13.03,84.38
1312.24,733.75,1.41,78.53,83.88
1394.22,742.68,1.37,5.47,83.74
1434.73,784.7,1.24,32.67,353.31
1428.58,867.42,1.46,27.89,353.72
1418.84,948.83,1.32,8.04,352.42
1419.07,959.24,0.0,0.01,82.45
1447.01,985.5,1.28,291.53,84.06
1529.02,994.04,1.28,209.08,84.06
1611.67,1002.65,1.43,125.98,84.06
1693.68,1011.18,1.22,43.53,84.06
1767.31,1027.18,1.37,3.55,83.76
1788.2,1019.13,1.47,12.21,263.89
1772.93,1026.69,1.34,0.31,351.47
1698.91,1027.34,1.36,258.92,263.72
1617.74,1018.41,1.34,177.27,263.72
1535.6,1009.36,1.42,94.63,263.72
1454.34,1000.42,1.27,12.88,263.72
1395.32,1008.86,1.48,0.32,354.08
1405.4,1055.86,1.37,115.19,353.81
1397.17,1137.59,1.3,33.13,353.81
1390.01,1218.92,1.33,12.18,353.57
1380.15,1300.48,1.33,6.17,353.72
1373.44,1382.4,1.29,121.67,354.93
1364.14,1464.73,1.36,38.82,353.42
1353.98,1546.84,1.35,34.62,352.39
1366.6,1610.83,1.26,18.89,45.18
1420.46,1669.97,1.35,52.73,46.42
1404.35,1708.61,1.34,33.23,290.08
1331.01,1731.34,1.3,4.56,230.95
1355.21,1725.2,1.34,0.45,109.53
1431.56,1697.3,1.41,3.79,110.08
1496.97,1707.46,1.28,7.36,111.39
1523.19,1654.98,1.33,2.25,200.6
1532.05,1595.19,1.29,3.74,109.48
1494.58,1577.14,1.24,4.75,197.99
1565.05,1545.82,1.31,22.03,105.01
1637.79,1533.37,1.25,33.59,85.73
1689.32,1506.53,1.31,12.29,174.4
1697.25,1424.34,1.36,33.05,174.4
1714.85,1343.8,1.34,0.34,137.45
1726.18,1266.49,1.3,63.89,174.99
1733.48,1185.2,1.42,19.68,174.61
1741.29,1102.4,1.3,102.85,174.61
1736.59,1042.24,1.51,2.7,174.06
1749.33,980.79,1.27,13.57,126.6
1758.03,899.05,1.24,80.14,174.57
1769.96,818.92,1.41,53.33,173.49
1739.33,769.78,1.52,0.96,263.67
1769.65,771.17,1.39,18.64,84.56
1767.09,849.75,1.33,22.37,353.49
1755.5,931.22,1.48,47.86,354.21
1740.39,989.9,0.0,0.01,354.56
1736.04,1048.93,1.26,5.51,354.08
1740.12,1121.62,1.29,83.6,354.61
1732.4,1203.42,1.48,1.44,354.61
1725.1,1286.15,1.34,44.22,354.99
1704.84,1361.11,1.29,36.54,343.65
1695.97,1443.87,1.29,13.48,354.4
1688.61,1525.53,1.46,13.81,357.82
1681.19,1602.43,1.49,3.31,357.35
1686.75,1665.91,1.42,80.91,353.96
1678.0,1746.93,1.44,3.02,353.95
1673.91,1792.95,1.48,88.16,353.95
1665.12,1875.88,1.35,4.76,353.95
1656.54,1923.21,1.45,86.71,353.93
1647.8,2005.42,1.24,4.04,353.93
1601.73,1993.6,1.53,51.11,225.76
1557.0,2034.75,1.32,60.28,330.7
1514.9,2103.25,1.35,62.73,330.71
1472.55,2174.63,1.51,146.04,285.19
1407.11,2172.58,1.4,12.66,332.36
1358.68,2216.95,1.44,13.62,255.1
1277.61,2195.52,1.45,6.98,255.07
1199.02,2175.93,1.29,3.22,298.53
1120.61,2153.71,1.37,69.08,255.13
1040.84,2132.64,1.42,35.95,255.25
961.04,2111.62,1.31,24.54,255.23
959.36,2110.0,1.45,1.04,75.23
1034.43,2120.36,1.45,10.68,75.25
1114.13,2141.4,1.38,13.16,75.11
1193.69,2161.78,1.33,4.03,93.39
1225.39,2089.39,1.51,23.88,158.5
1255.62,2012.65,1.42,106.36,158.5
1285.66,1936.4,1.5,48.8,158.5
1316.01,1859.33,1.41,40.16,158.5
1347.14,1781.27,1.33,5.68,158.58
1360.84,1723.83,1.28,79.31,110.08
1437.24,1696.47,1.28,1.49,84.01
1502.74,1705.89,1.51,13.3,111.39
1579.59,1677.82,1.22,11.24,110.16
1654.01,1643.44,1.35,35.48,131.79
1682.32,1577.13,1.45,23.15,177.46
1690.7,1499.1,1.39,19.8,174.4
1698.59,1417.18,1.33,40.3,174.4
1716.12,1337.53,1.33,2.69,173.72
1727.55,1258.22,1.41,72.25,174.99
1734.93,1176.64,1.39,28.33,174.61
1742.68,1094.43,1.41,110.91,174.61
1736.44,1045.04,1.37,9.43,174.08
1783.64,1019.2,1.35,1.56,84.0
1865.96,1027.82,1.37,19.0,84.03
1836.07,1024.79,1.45,25.51,267.07
1767.36,1024.06,1.52,0.57,352.42
1700.24,1027.49,1.45,260.26,263.72
1618.35,1018.47,1.4,177.88,263.72
1535.21,1009.32,1.41,94.24,263.72
1453.09,1000.28,1.38,11.63,263.72
1424.57,990.68,0.0,1.68,262.41
1395.3,1009.06,0.0,0.11,354.08
1404.84,1060.97,1.52,110.05,353.81
1395.91,1143.3,1.38,27.34,353.81
1388.75,1224.36,1.31,6.63,353.57
1313.15,1245.46,1.5,15.74,278.97
1267.33,1286.88,1.43,78.41,263.72
1185.14,1277.19,1.34,2.86,263.54
1106.32,1272.41,1.51,74.57,263.73
1023.73,1263.7,1.5,2.2,263.69
941.53,1254.31,1.43,106.15,263.73
859.28,1245.27,1.45,23.4,263.73
817.3,1239.96,1.32,24.15,263.96
799.05,1312.19,1.25,42.56,353.46
789.47,1394.21,1.24,85.67,353.3
779.79,1476.51,1.35,2.8,353.3
772.72,1557.72,1.27,178.62,355.33
765.93,1640.78,1.25,95.29,355.33
759.0,1723.41,1.37,12.36,347.7
743.93,1803.2,1.36,3.84,353.54
682.94,1837.46,1.24,59.68,289.42
610.52,1873.72,1.29,141.09,299.93
660.12,1845.95,1.28,84.11,115.04
737.82,1818.79,1.48,1.54,103.93
760.49,1873.26,1.39,0.7,84.69
835.83,1895.63,1.24,71.95,78.47
916.53,1912.09,1.31,154.32,78.47
996.69,1928.44,1.23,236.13,78.47
1077.15,1944.84,1.32,1.88,78.61
1132.9,1923.26,1.49,30.28,169.55
1160.43,1853.0,1.4,6.63,72.24
1220.13,1802.06,1.23,4.13,117.31
1263.17,1737.64,1.43,87.02,161.57
1309.53,1712.27,1.32,33.31,50.95
1375.5,1717.79,1.38,63.47,110.08
1449.84,1697.92,1.49,1.38,46.53
1513.97,1707.67,1.37,25.5,111.39
1591.86,1679.45,1.35,31.49,110.16
1664.35,1643.93,1.51,12.91,109.34
1704.07,1608.75,1.23,3.78,174.69
1716.85,1527.23,1.36,0.25,163.33
1727.45,1445.46,1.27,45.45,173.66
1735.26,1363.34,1.34,1.56,185.34
1732.49,1289.87,1.34,71.1,174.99
1740.82,1208.46,1.41,2.46,208.92
1747.52,1124.93,1.49,65.76,174.61
1753.51,1058.49,0.0,0.02,264.44
1710.29,1028.6,1.41,270.37,263.72
1628.56,1019.6,1.39,188.15,263.72
1547.23,1010.64,1.26,106.33,263.72
1464.5,1001.53,1.33,23.1,263.72
1436.04,960.6,1.24,7.42,273.39
1428.58,960.66,0.0,0.01,262.45
1426.36,887.64,1.48,7.54,173.72
1432.23,805.96,1.38,11.26,173.31
1415.07,744.9,1.25,21.26,263.5
1380.74,804.3,1.23,100.25,354.46
1379.7,815.04,1.43,89.46,174.46
1405.15,743.77,1.41,31.25,83.5
1433.31,796.82,1.25,20.47,353.31
1427.29,879.11,1.45,16.12,353.72
1418.79,959.2,0.55,0.29,82.45
1442.25,968.65,1.49,7.02,353.06
1507.66,991.82,1.39,230.56,84.06
1589.1,1000.3,1.38,148.68,84.06
1670.68,1008.79,1.28,66.65,84.06
1740.68,1024.21,1.26,0.55,83.66
1812.93,1023.73,1.51,3.44,174.29
1747.87,1025.7,0.93,0.15,264.23
1744.8,1078.82,1.26,126.65,354.51
1737.17,1159.72,1.42,45.39,354.61
1729.65,1241.54,1.25,89.06,354.99
1722.49,1323.37,1.23,6.91,355.01
1700.93,1399.92,1.52,57.7,354.93
1692.99,1482.3,1.32,36.68,354.4
1683.78,1558.61,1.3,41.71,357.46
1670.67,1636.28,1.35,53.96,289.33
1598.79,1671.46,1.22,31.47,290.16
1520.79,1699.51,1.28,32.43,291.39
1452.74,1702.43,1.33,6.58,226.53
1378.58,1718.03,1.22,60.66,290.08
1354.61,1765.11,1.27,14.26,322.86
1324.2,1842.03,1.4,59.26,338.5
1294.5,1917.46,1.28,69.66,338.5
1264.92,1991.05,1.46,0.18,348.46
1235.17,2068.05,1.51,47.32,338.5
1224.17,2092.49,1.45,20.55,158.5
1254.15,2016.38,1.23,102.35,158.5
1283.74,1941.26,1.49,43.57,158.5
1313.7,1865.21,1.44,33.84,158.5
1344.05,1788.16,1.38,116.66,158.5
1354.42,1726.16,1.52,1.52,109.53
1430.47,1698.38,1.4,5.18,110.08
1399.86,1651.26,1.43,24.9,226.42
1346.62,1591.97,1.22,7.43,229.71
1357.11,1518.61,1.52,63.02,172.39
1366.84,1435.82,1.29,67.85,173.42
1375.29,1354.31,1.52,149.82,174.93
1382.13,1282.84,1.27,13.4,173.55
1391.75,1201.1,1.23,3.05,173.34
1398.44,1120.02,1.44,50.72,173.81
1407.0,1037.82,1.44,133.26,172.4
1399.72,972.86,1.34,3.01,173.34
1409.81,942.84,1.52,22.4,264.32
1395.21,1016.14,1.34,2.66,354.08
1416.72,1037.57,1.22,14.19,352.39
1407.5,1119.57,1.25,96.81,353.81
1400.01,1201.26,1.28,1.19,353.55
1391.08,1283.53,1.3,1.87,353.55
1385.63,1339.18,1.45,27.79,354.92
1377.47,1421.8,1.27,110.78,353.41
1367.54,1504.74,1.29,0.55,353.41
1434.98,1538.22,1.23,53.29,68.27
1500.62,1576.94,1.3,2.69,107.68
1579.15,1553.34,1.24,84.67,103.73
1634.76,1568.05,1.49,11.19,93.64
1692.34,1544.94,1.32,1.8,132.74
1725.18,1495.4,0.13,0.18,177.14
1732.23,1412.76,1.28,67.02,175.52
1729.84,1340.62,1.35,3.18,155.72
1735.84,1259.0,1.25,40.05,174.99
1743.3,1176.5,1.29,117.5,174.61
1751.05,1094.32,1.36,34.95,174.61
1734.83,1054.34,0.0,14.37,174.08
1739.48,992.73,1.48,6.7,174.56
1786.73,984.55,1.52,171.68,84.09
1868.9,993.05,1.46,89.07,84.09
1950.05,1001.45,1.37,7.48,84.09
1949.06,1002.64,1.5,8.35,264.09
1868.23,994.27,1.5,89.61,264.09
1785.67,985.73,1.3,172.61,264.09
1739.62,1002.02,1.45,11.37,359.95
1669.82,1008.7,1.46,67.52,264.06
1587.38,1000.12,1.46,150.4,264.06
1504.47,991.49,1.45,233.76,264.06
1426.06,990.65,1.48,0.07,265.88
1401.99,988.05,1.35,8.39,263.81
1409.08,1031.91,1.35,139.39,352.55
1399.75,1113.83,1.32,57.01,353.81
1392.61,1195.95,1.5,3.25,353.59
1383.74,1277.5,1.29,3.3,353.57
1377.78,1333.53,1.29,170.74,354.93
1369.78,1415.86,1.49,88.02,353.42
1360.31,1497.97,1.46,5.35,353.42
1349.59,1579.67,1.25,1.5,352.39
1389.72,1633.31,1.39,121.51,47.82
1449.21,1689.88,1.23,39.42,46.16
1509.51,1747.56,1.28,102.26,45.95
1569.25,1805.36,1.49,19.13,45.95
1630.12,1863.1,1.31,35.2,46.7
1670.97,1908.92,1.39,3.11,33.02
1664.67,1992.0,1.52,77.7,353.93
1665.02,1970.54,1.34,56.32,173.93
1670.46,1901.56,1.27,1.16,174.02
1672.82,1869.92,1.31,118.1,173.95
1681.52,1787.91,1.48,35.63,173.95
1690.27,1705.38,1.3,62.06,173.95
1700.98,1632.48,1.29,12.8,169.26
1710.34,1551.59,1.48,5.54,172.95
1724.63,1470.84,1.29,70.99,173.66
1733.5,1389.33,1.29,27.71,173.9
1730.04,1317.79,1.4,99.13,174.95
1737.22,1235.84,1.4,16.85,174.99
1744.7,1154.89,1.44,95.84,174.61
1752.51,1072.19,1.28,12.78,174.5
1737.63,1028.82,0.87,0.09,174.29
1751.47,964.51,1.41,14.32,174.21
1759.45,884.16,1.32,95.11,174.57
1832.1,886.73,1.51,71.65,83.99
1914.05,895.33,1.31,10.01,59.06
1974.47,872.39,1.42,21.4,173.77
1964.78,899.95,1.37,3.49,264.15
1881.77,891.32,1.47,21.76,263.99
1799.65,882.68,1.39,104.34,263.99
1757.0,916.43,1.29,62.74,354.21
1740.39,989.9,0.08,0.0,354.56
1735.8,1051.18,1.23,3.24,354.08
1749.83,1114.1,1.23,54.75,354.61
1742.03,1196.84,1.52,137.86,354.61
1734.82,1278.0,1.32,59.07,354.99
1736.84,1351.82,1.28,2.45,27.85
1731.12,1433.13,1.26,32.81,355.52
1725.24,1512.75,1.31,32.99,354.59
1709.63,1527.22,1.27,3.38,86.09
1728.31,1462.94,1.29,16.69,175.52
1735.08,1380.57,1.34,18.9,173.9
1731.68,1306.41,1.24,87.64,174.99
1738.93,1223.64,1.51,4.55,174.99
1746.6,1141.58,1.22,82.41,174.61
1754.37,1059.53,1.44,0.0,174.51
1757.81,1025.79,1.49,1.16,44.87
1825.04,1040.14,1.26,44.56,84.34
1906.57,1048.22,1.43,126.49,84.34
1896.3,1048.49,1.28,116.3,264.34
1814.48,1040.38,1.25,34.07,264.34
1750.21,1025.8,1.26,1.64,264.44
1747.33,1055.79,0.0,0.0,84.44
1749.18,1127.85,1.4,68.51,354.61
1742.66,1210.49,1.3,1.02,353.82
1734.24,1291.95,1.38,73.01,354.99
1737.98,1358.05,1.22,3.68,320.46
1729.4,1439.5,1.38,39.31,353.66
1719.84,1520.58,1.36,39.72,348.19
1770.61,1551.44,1.43,37.26,84.79
1852.56,1558.91,1.26,119.55,84.79
1908.75,1589.46,1.29,21.66,351.64
1961.77,1621.37,1.52,40.96,83.28
2042.89,1630.93,1.49,122.64,83.28
2103.87,1658.7,1.42,17.31,353.06
2094.56,1740.11,1.37,21.64,353.6
2137.27,1783.51,1.44,5.16,355.73
2137.08,1811.77,1.42,33.36,175.73
2094.28,1766.66,1.24,0.24,263.59
